Location,Cell Type,Installation Type
location with approximate average irradiance of US PV sites (2019),multi Si,"residential"
location with approximate average irradiance of US PV sites (2019),multi Si,"utility, fixed tilt"
location with approximate average irradiance of US PV sites (2019),multi Si,"utility, 1-axis tracking"
location with approximate average irradiance of US PV sites (2019),single Si,"residential"
location with approximate average irradiance of US PV sites (2019),single Si,"utility, fixed tilt"
location with approximate average irradiance of US PV sites (2019),single Si,"utility, 1-axis tracking"
location with approximate average irradiance of US PV sites (2019),CdTe,"residential"
location with approximate average irradiance of US PV sites (2019),CdTe,"utility, fixed tilt"
location with approximate average irradiance of US PV sites (2019),CdTe,"utility, 1-axis tracking"
location with approximate average irradiance of US PV sites (2019),CIGS,"residential"
location with approximate average irradiance of US PV sites (2019),CIGS,"utility, fixed tilt"
location with approximate average irradiance of US PV sites (2019),CIGS,"utility, 1-axis tracking"
location with approximate average irradiance of US,multi Si,"residential"
location with approximate average irradiance of US,multi Si,"utility, fixed tilt"
location with approximate average irradiance of US,multi Si,"utility, 1-axis tracking"
location with approximate average irradiance of US,single Si,"residential"
location with approximate average irradiance of US,single Si,"utility, fixed tilt"
location with approximate average irradiance of US,single Si,"utility, 1-axis tracking"
location with approximate average irradiance of US,CdTe,"residential"
location with approximate average irradiance of US,CdTe,"utility, fixed tilt"
location with approximate average irradiance of US,CdTe,"utility, 1-axis tracking"
location with approximate average irradiance of US,CIGS,"residential"
location with approximate average irradiance of US,CIGS,"utility, fixed tilt"
location with approximate average irradiance of US,CIGS,"utility, 1-axis tracking"
US NE (Boston),multi Si,"residential"
US NE (Boston),multi Si,"utility, fixed tilt"
US NE (Boston),multi Si,"utility, 1-axis tracking"
US NE (Boston),single Si,"residential"
US NE (Boston),single Si,"utility, fixed tilt"
US NE (Boston),single Si,"utility, 1-axis tracking"
US NE (Boston),CdTe,"residential"
US NE (Boston),CdTe,"utility, fixed tilt"
US NE (Boston),CdTe,"utility, 1-axis tracking"
US NE (Boston),CIGS,"residential"
US NE (Boston),CIGS,"utility, fixed tilt"
US NE (Boston),CIGS,"utility, 1-axis tracking"
US SE (Miami),multi Si,"residential"
US SE (Miami),multi Si,"utility, fixed tilt"
US SE (Miami),multi Si,"utility, 1-axis tracking"
US SE (Miami),single Si,"residential"
US SE (Miami),single Si,"utility, fixed tilt"
US SE (Miami),single Si,"utility, 1-axis tracking"
US SE (Miami),CdTe,"residential"
US SE (Miami),CdTe,"utility, fixed tilt"
US SE (Miami),CdTe,"utility, 1-axis tracking"
US SE (Miami),CIGS,"residential"
US SE (Miami),CIGS,"utility, fixed tilt"
US SE (Miami),CIGS,"utility, 1-axis tracking"
US N (Minneapolis),multi Si,"residential"
US N (Minneapolis),multi Si,"utility, fixed tilt"
US N (Minneapolis),multi Si,"utility, 1-axis tracking"
US N (Minneapolis),single Si,"residential"
US N (Minneapolis),single Si,"utility, fixed tilt"
US N (Minneapolis),single Si,"utility, 1-axis tracking"
US N (Minneapolis),CdTe,"residential"
US N (Minneapolis),CdTe,"utility, fixed tilt"
US N (Minneapolis),CdTe,"utility, 1-axis tracking"
US N (Minneapolis),CIGS,"residential"
US N (Minneapolis),CIGS,"utility, fixed tilt"
US N (Minneapolis),CIGS,"utility, 1-axis tracking"
US NW (Seattle),multi Si,"residential"
US NW (Seattle),multi Si,"utility, fixed tilt"
US NW (Seattle),multi Si,"utility, 1-axis tracking"
US NW (Seattle),single Si,"residential"
US NW (Seattle),single Si,"utility, fixed tilt"
US NW (Seattle),single Si,"utility, 1-axis tracking"
US NW (Seattle),CdTe,"residential"
US NW (Seattle),CdTe,"utility, fixed tilt"
US NW (Seattle),CdTe,"utility, 1-axis tracking"
US NW (Seattle),CIGS,"residential"
US NW (Seattle),CIGS,"utility, fixed tilt"
US NW (Seattle),CIGS,"utility, 1-axis tracking"
US W (San Francisco),multi Si,"residential"
US W (San Francisco),multi Si,"utility, fixed tilt"
US W (San Francisco),multi Si,"utility, 1-axis tracking"
US W (San Francisco),single Si,"residential"
US W (San Francisco),single Si,"utility, fixed tilt"
US W (San Francisco),single Si,"utility, 1-axis tracking"
US W (San Francisco),CdTe,"residential"
US W (San Francisco),CdTe,"utility, fixed tilt"
US W (San Francisco),CdTe,"utility, 1-axis tracking"
US W (San Francisco),CIGS,"residential"
US W (San Francisco),CIGS,"utility, fixed tilt"
US W (San Francisco),CIGS,"utility, 1-axis tracking"
US SW (Phoenix),multi Si,"residential"
US SW (Phoenix),multi Si,"utility, fixed tilt"
US SW (Phoenix),multi Si,"utility, 1-axis tracking"
US SW (Phoenix),single Si,"residential"
US SW (Phoenix),single Si,"utility, fixed tilt"
US SW (Phoenix),single Si,"utility, 1-axis tracking"
US SW (Phoenix),CdTe,"residential"
US SW (Phoenix),CdTe,"utility, fixed tilt"
US SW (Phoenix),CdTe,"utility, 1-axis tracking"
US SW (Phoenix),CIGS,"residential"
US SW (Phoenix),CIGS,"utility, fixed tilt"
US SW (Phoenix),CIGS,"utility, 1-axis tracking"
China NE (Beijing),multi Si,"residential"
China NE (Beijing),multi Si,"utility, fixed tilt"
China NE (Beijing),multi Si,"utility, 1-axis tracking"
China NE (Beijing),single Si,"residential"
China NE (Beijing),single Si,"utility, fixed tilt"
China NE (Beijing),single Si,"utility, 1-axis tracking"
China NE (Beijing),CdTe,"residential"
China NE (Beijing),CdTe,"utility, fixed tilt"
China NE (Beijing),CdTe,"utility, 1-axis tracking"
China NE (Beijing),CIGS,"residential"
China NE (Beijing),CIGS,"utility, fixed tilt"
China NE (Beijing),CIGS,"utility, 1-axis tracking"
China (Lhasa),multi Si,"residential"
China (Lhasa),multi Si,"utility, fixed tilt"
China (Lhasa),multi Si,"utility, 1-axis tracking"
China (Lhasa),single Si,"residential"
China (Lhasa),single Si,"utility, fixed tilt"
China (Lhasa),single Si,"utility, 1-axis tracking"
China (Lhasa),CdTe,"residential"
China (Lhasa),CdTe,"utility, fixed tilt"
China (Lhasa),CdTe,"utility, 1-axis tracking"
China (Lhasa),CIGS,"residential"
China (Lhasa),CIGS,"utility, fixed tilt"
China (Lhasa),CIGS,"utility, 1-axis tracking"
India (Mumbai),multi Si,"residential"
India (Mumbai),multi Si,"utility, fixed tilt"
